Tip_label	f
Pheidole_havilandi	0.09
Pheidole_hyatti	0.09
Pheidole_indagatrix	0.09
Pheidole_indica	0.09
Pheidole_jacobsoni	0.09
Pheidole_jonas	0.09
Pheidole_knowlesi	0.09
Pheidole_laselva	0.09
Pheidole_laticornis	0.09
Pheidole_lokitae	0.09
Pheidole_longispinosa	0.09
Pheidole_lucida	0.09
Pheidole_lucioccipitalis	0.09
Pheidole_lucretii	0.09
Pheidole_megacephala	0.09
Pheidole_melanogaster	0.09
Pheidole_mendanai	0.09
Pheidole_mendicula	0.09
Pheidole_militicida	0.09
Pheidole_moerens	0.09
Pheidole_monteverdensis	0.09
Pheidole_morrisii	0.09
Pheidole_nemoralis	0.09
Pheidole_nigeriensis	0.09
Pheidole_nindi	0.09
Pheidole_nodus	0.09
Pheidole_obtusospinosa	0.09
Pheidole_olsoni	0.09
Pheidole_onifera	0.09
Pheidole_oswaldi	0.09
Pheidole_pallidula	0.09
Pheidole_parva	0.09
Pheidole_perpilosa	0.09
Pheidole_pilifera	0.09
Pheidole_plagiaria	0.09
Pheidole_psilogaster	0.09
Pheidole_pubiventris	0.09
Pheidole_pugnax	0.09
Pheidole_pulchella	0.09
Pheidole_punctatissima	0.09
Pheidole_quadrensis	0.09
Pheidole_rhea	0.09
Pheidole_rhinoceros	0.09
Pheidole_rhinomontana	0.09
Pheidole_roosevelti	0.09
Pheidole_rugiceps	0.09
Pheidole_sabahna	0.09
Pheidole_sagittaria	0.09
Pheidole_sauberi	0.09
Pheidole_sexspinosa	0.09
Pheidole_simonsi	0.09
Pheidole_spadonia	0.09
Pheidole_sperata	0.09
Pheidole_spinicornis	0.09
Pheidole_striaticeps	0.09
Pheidole_subarmata	0.09
Pheidole_susannae	0.09
Pheidole_synarmata	0.09
Pheidole_thrasys	0.09
Pheidole_tjibodana	0.09
Pheidole_tysoni	0.09
Pheidole_ulothrix	0.09
Pheidole_umbonata	0.09
Pheidole_ursus	0.09
Pheidole_vallicola	0.09
Pheidole_vatu	0.09
Pheidole_williamsi	0.09
Pheidole_zeteki	0.09
Pilotrochus_besmerus	1
Procryptocerus_batesi	0.09
Procryptocerus_carbonarius	0.09
